context,platform,algorithm,mode,key_size_bits,message_size_bytes,throughput_enc_mbps,throughput_dec_mbps,avalanche_score,key_avalanche_score,ci95_enc_mbps,source_csvs
performance,x86,3DES,CBC,128,64,0.737664556889757,0.6157396890534527,0.4982617187499999,0.4303515625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,0.8035301745693176,1.8845879188293453,0.50017578125,0.43966796875,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,0.823234385309312,3.206242578885517,0.50216796875,0.447578125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,4096,0.8728403806733462,4.00545776101022,0.50166015625,0.43197265625000003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,16384,0.8819113745581897,4.468591249997507,0.50486328125,0.43814453124999997,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,64,0.7258548401084404,0.53399595125762,0.50173828125,0.41728515625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,256,0.7390459541197125,1.501809997165673,0.4983984375,0.42660156250000003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,1024,0.862847574987581,3.134537858324188,0.5021484375,0.43490234375000003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,4096,0.876016474162113,4.099417170344043,0.5008203125,0.43849609375,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,192,16384,0.8518220481177258,4.661489312679368,0.49947265625,0.444140625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,64,0.6751999880168262,0.7129023034149262,0.49947265625000004,0.43878906249999994,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,256,1.6739515253571795,1.6092565704563302,0.49953125,0.43978515625000003,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,1024,2.6250234596303583,2.798887955511998,0.50232421875,0.434765625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,4096,3.226052671656765,3.3593600832993054,0.50216796875,0.43384765625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,128,16384,3.6381115151457966,3.5871732122966353,0.4990234375,0.43621093750000006,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,64,0.5532758922621239,0.5980240990940999,0.50208984375,0.43855468750000004,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,256,1.5026795261519859,1.4716564686426419,0.4946484375,0.4387890625,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,1024,2.573169650586674,2.6782800437597016,0.5004296875,0.43705078125,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CTR,192,4096,3.245749239759875,3.3470540512316873,0.50302734375,0.4425,,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
