context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,128,64,avalanche_score,4,0.4982617187499999,0.4982617187499999,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,64,avg_decrypt_time_s,4,0.00010169675131919576,0.00010169675131919576,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,64,avg_encrypt_time_s,4,8.369650065560564e-05,8.369650065560564e-05,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,64,key_avalanche_score,4,0.4303515625,0.4303515625,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,64,throughput_dec_mbps,4,0.6157396890534527,0.6157396890534527,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,64,throughput_enc_mbps,4,0.737664556889757,0.737664556889757,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,avalanche_score,4,0.50017578125,0.50017578125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,avg_decrypt_time_s,4,0.00013113649901924873,0.00013113649901924873,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,avg_encrypt_time_s,4,0.0003079170008413712,0.0003079170008413712,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,key_avalanche_score,4,0.43966796875,0.43966796875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,throughput_dec_mbps,4,1.8845879188293453,1.8845879188293453,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,256,throughput_enc_mbps,4,0.8035301745693176,0.8035301745693176,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,avalanche_score,4,0.50216796875,0.50216796875,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,avg_decrypt_time_s,4,0.00031412924855885645,0.00031412924855885645,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,avg_encrypt_time_s,4,0.001205765750453338,0.001205765750453338,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,key_avalanche_score,4,0.447578125,0.447578125,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,throughput_dec_mbps,4,3.206242578885517,3.206242578885517,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
performance,x86,3DES,CBC,128,1024,throughput_enc_mbps,4,0.823234385309312,0.823234385309312,0.0,0.0,"windows_experience1_20260718.csv, windows_experience2_20260718.csv, windows_experience3_20260718.csv, windows_experience4_20260723.csv"
