platform,algorithm,mode,key_size_bits,message_size_bytes,samples,source_files_count,source_files,repetitions_min,repetitions_max,throughput_encrypt_mbps_mean,ci95_encrypt_mbps_mean,ic95_relative_pct_mean,threshold_rel_ic95_pct,confidence_95_condition,threshold_condition,overall_status
arm,3DES,CBC,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.41672436359175585,0.00893490424147803,2.1453785462868047,10.0,PASS,PASS,PASS
arm,3DES,CBC,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.47253696104929505,0.00814193754480517,1.7393297941958388,10.0,PASS,PASS,PASS
arm,3DES,CBC,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.5162295446630134,0.00455670732753891,0.88703821428597,10.0,PASS,PASS,PASS
arm,3DES,CBC,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.5285613122760622,0.0029320906413777222,0.5650383147040811,10.0,PASS,PASS,PASS
arm,3DES,CBC,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.530158192832145,0.0018809455344513115,0.3601570062490718,10.0,PASS,PASS,PASS
arm,3DES,CBC,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.41706365402824086,0.009944949697929653,2.3864995270124525,10.0,PASS,PASS,PASS
arm,3DES,CBC,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.4825682591878524,0.008779389059254664,1.8219134803370813,10.0,PASS,PASS,PASS
arm,3DES,CBC,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.5185151803787863,0.004098224199541176,0.7941374107846787,10.0,PASS,PASS,PASS
arm,3DES,CBC,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.5059062223037031,0.0058529725715416,1.2603876734992359,10.0,PASS,PASS,PASS
arm,3DES,CBC,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.5060013486702809,0.004148273870061665,0.8224967866588894,10.0,PASS,PASS,PASS
arm,3DES,CTR,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3246339908586366,0.019713906437502086,6.6080892265793,10.0,PASS,PASS,PASS
arm,3DES,CTR,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.884653363352514,0.05112250356704336,5.675975194252554,10.0,PASS,PASS,PASS
arm,3DES,CTR,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.8631706346813146,0.07016177772326528,3.851279979684436,10.0,PASS,PASS,PASS
arm,3DES,CTR,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.5357230402852378,0.06484424213826857,2.632392684867849,10.0,PASS,PASS,PASS
arm,3DES,CTR,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.893240066298197,0.028115191377900275,0.9906698100691188,10.0,PASS,PASS,PASS
arm,3DES,CTR,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.2734668798295459,0.013223922205715508,5.101129668320207,10.0,PASS,PASS,PASS
arm,3DES,CTR,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.8322540454158149,0.04902961715077144,6.220507884384227,10.0,PASS,PASS,PASS
arm,3DES,CTR,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.7145332248716938,0.07583954536876808,4.616184236734795,10.0,PASS,PASS,PASS
arm,3DES,CTR,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.3458269411414485,0.0883233519961009,4.749375796562369,10.0,PASS,PASS,PASS
arm,3DES,CTR,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.904722502975126,0.03805749371702479,1.3382436205767156,10.0,PASS,PASS,PASS
arm,3DES,ECB,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.4499559686918418,0.01211751724323791,2.6962263023674997,10.0,PASS,PASS,PASS
arm,3DES,ECB,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.5623490683051635,0.06210327707656485,3.975398774166129,10.0,PASS,PASS,PASS
arm,3DES,ECB,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.189903081180504,0.19551195131742902,4.7719151319080435,10.0,PASS,PASS,PASS
arm,3DES,ECB,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,8.455450236901122,0.3302802158204347,3.925480263364937,10.0,PASS,PASS,PASS
arm,3DES,ECB,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,11.32287514426257,0.18249992164246143,1.6142633115872798,10.0,PASS,PASS,PASS
arm,3DES,ECB,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.37605325257604044,0.01410430522849592,3.7497688121422166,10.0,PASS,PASS,PASS
arm,3DES,ECB,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.3688119172478006,0.04650407447067243,3.3975684082968356,10.0,PASS,PASS,PASS
arm,3DES,ECB,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.963796933930091,0.1805892857587753,4.5536486375635405,10.0,PASS,PASS,PASS
arm,3DES,ECB,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,8.106585976969638,0.49721904137723033,6.248957691005544,10.0,PASS,PASS,PASS
arm,3DES,ECB,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,11.318157559356258,0.16867647242564,1.4825538998979717,10.0,PASS,PASS,PASS
arm,AES,CBC,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.26542306979883945,0.00969852910260278,3.772075486217657,10.0,PASS,PASS,PASS
arm,AES,CBC,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.34322196922472675,0.004751923487384876,1.41423167765307,10.0,PASS,PASS,PASS
arm,AES,CBC,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3673226817965809,0.003889414459560716,1.0787473363382196,10.0,PASS,PASS,PASS
arm,AES,CBC,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.37805714604888757,0.0019889908775599908,0.5327919009287675,10.0,PASS,PASS,PASS
arm,AES,CBC,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.38284502742059984,0.0013780874386202459,0.3628591382552638,10.0,PASS,PASS,PASS
arm,AES,CBC,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.2673146753538679,0.0068498073231292545,2.6137092307891163,10.0,PASS,PASS,PASS
arm,AES,CBC,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3460620512845909,0.005097243693377306,1.4958658164251668,10.0,PASS,PASS,PASS
arm,AES,CBC,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3367330284989751,0.006931804409425975,2.610831935094985,10.0,PASS,PASS,PASS
arm,AES,CBC,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3892263605089366,0.0015833393413367221,0.4106454460111575,10.0,PASS,PASS,PASS
arm,AES,CBC,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.39317367496143235,0.0007611199323043099,0.19638137291398614,10.0,PASS,PASS,PASS
arm,AES,CBC,256,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.2879913443822351,0.00670980994472412,2.3328306554515783,10.0,PASS,PASS,PASS
arm,AES,CBC,256,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3595834671099229,0.0037243679954474126,1.0359581343183166,10.0,PASS,PASS,PASS
arm,AES,CBC,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3843472709005224,0.0018100524066529302,0.47119825141024513,10.0,PASS,PASS,PASS
arm,AES,CBC,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.3886339566215374,0.0010213818547489704,0.26671607419106663,10.0,PASS,PASS,PASS
arm,AES,CBC,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.390464987881352,0.00112452953658982,0.2936186505578053,10.0,PASS,PASS,PASS
arm,AES,CTR,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.933505960688096,0.08987544391997536,9.763186014274202,10.0,PASS,PASS,PASS
arm,AES,CTR,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.197643202299801,0.10743505054400804,4.955305278409139,10.0,PASS,PASS,PASS
arm,AES,CTR,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.166439453481194,0.15277031954956466,5.1677435083535075,10.0,PASS,PASS,PASS
arm,AES,CTR,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.248335349112328,0.09961100496012419,2.3661167800789205,10.0,PASS,PASS,PASS
arm,AES,CTR,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.388470769551414,0.04060094620067342,0.9254834098716603,10.0,PASS,PASS,PASS
arm,AES,CTR,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.9980933370582864,0.044677939169504736,4.500416700570679,10.0,PASS,PASS,PASS
arm,AES,CTR,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.233026554122534,0.10849948655936059,4.979481385469396,10.0,PASS,PASS,PASS
arm,AES,CTR,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.2476280959239108,0.1371468612197206,4.242611560975561,10.0,PASS,PASS,PASS
arm,AES,CTR,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.125987855262699,0.08562114910903908,2.078634013531621,10.0,PASS,PASS,PASS
arm,AES,CTR,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.189344855174698,0.06748245455546825,1.6832333952397993,10.0,PASS,PASS,PASS
arm,AES,CTR,256,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.9943117805122471,0.04056853244103691,4.12158648936031,10.0,PASS,PASS,PASS
arm,AES,CTR,256,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,2.283532218308497,0.06151039759636234,2.6895008818545407,10.0,PASS,PASS,PASS
arm,AES,CTR,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.47020918435824,0.12303627135404534,3.5507422664873176,10.0,PASS,PASS,PASS
arm,AES,CTR,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.025254708226736,0.07416839226689133,1.8632192787141406,10.0,PASS,PASS,PASS
arm,AES,CTR,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,4.103952917561774,0.05194939371204069,1.3347152815851624,10.0,PASS,PASS,PASS
arm,AES,ECB,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.9683454143207432,0.6114757508249117,65.24775812883784,10.0,PASS,FAIL,FAIL
arm,AES,ECB,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,5.3753562006027815,0.5091966191160784,9.771680611894787,10.0,PASS,PASS,PASS
arm,AES,ECB,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,18.337476372577147,1.497712189992364,8.26915637773183,10.0,PASS,PASS,PASS
arm,AES,ECB,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,37.574343743993886,2.7220329554855502,7.5041135957558796,10.0,PASS,PASS,PASS
arm,AES,ECB,128,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,50.57521243297921,3.646009077336409,7.603044726428109,10.0,PASS,PASS,PASS
arm,AES,ECB,192,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.4303066286584822,0.10728827515301272,7.752150957863928,10.0,PASS,PASS,PASS
arm,AES,ECB,192,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,5.137505645531433,0.2753030519592395,5.2009802772436355,10.0,PASS,PASS,PASS
arm,AES,ECB,192,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,18.608368781441524,0.5387222031960182,2.9158304876285785,10.0,PASS,PASS,PASS
arm,AES,ECB,192,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,39.346295167720776,1.2253989214734384,3.2815360412418833,10.0,PASS,PASS,PASS
arm,AES,ECB,192,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,54.68255710684252,2.3135156691915477,4.420568451874603,10.0,PASS,PASS,PASS
arm,AES,ECB,256,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.529821241596944,0.1388251929892156,9.587071838016788,10.0,PASS,PASS,PASS
arm,AES,ECB,256,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,5.87724269587402,0.18507442405342897,3.1862763753312855,10.0,PASS,PASS,PASS
arm,AES,ECB,256,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,17.769883686128498,0.5247421684735842,3.0317739209240013,10.0,PASS,PASS,PASS
arm,AES,ECB,256,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,36.658922362318144,1.4356756305400404,3.9334176844858733,10.0,PASS,PASS,PASS
arm,AES,ECB,256,16384,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,47.03346965408023,2.2224046357629716,4.8417234705426715,10.0,PASS,PASS,PASS
arm,AES,GCM,128,64,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,0.17940572827657822,0.09518414262813202,53.18633840068778,10.0,PASS,FAIL,FAIL
arm,AES,GCM,128,256,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,1.0760135241590416,0.048521184572973795,4.552787546499531,10.0,PASS,PASS,PASS
arm,AES,GCM,128,1024,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,3.9604484197554526,0.17434344734597348,4.414085702239132,10.0,PASS,PASS,PASS
arm,AES,GCM,128,4096,3,3,"raspberry_experience7_20260801.csv, raspberry_experience8_20260801.csv, raspberry_experience9_20260801.csv",100,100,10.527598954449052,0.4529622707334453,4.502355150452479,10.0,PASS,PASS,PASS
