context,platform,algorithm,mode,key_size_bits,message_size_bytes,metric,raw_count,raw_mean,aggregated_value,abs_diff,rel_diff_pct,source_csvs
performance,x86,3DES,CBC,128,64,avalanche_score,3,0.49695312500000005,0.49695312500000005,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,64,avg_decrypt_time_s,3,8.055366808548571e-05,8.055366808548571e-05,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,64,avg_encrypt_time_s,3,0.00022568733586619298,0.00022568733586619298,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,64,key_avalanche_score,2,0.434765625,0.434765625,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,64,throughput_dec_mbps,3,0.7758169359410346,0.7758169359410346,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,64,throughput_enc_mbps,3,0.5577558495563427,0.5577558495563427,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,avalanche_score,3,0.5040885416666667,0.5040885416666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,avg_decrypt_time_s,3,0.0001155013342698415,0.0001155013342698415,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,avg_encrypt_time_s,3,0.000776892666860173,0.000776892666860173,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,key_avalanche_score,2,0.4553515625,0.4553515625,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,throughput_dec_mbps,3,2.147519989707315,2.147519989707315,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,256,throughput_enc_mbps,3,0.6697113377717222,0.6697113377717222,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,avalanche_score,3,0.5011718749999999,0.5011718749999999,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,avg_decrypt_time_s,3,0.00025599066400900484,0.00025599066400900484,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,avg_encrypt_time_s,3,0.00306399366663148,0.00306399366663148,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,key_avalanche_score,2,0.4515234375,0.4515234375,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,throughput_dec_mbps,3,3.8650756247415607,3.8650756247415607,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,1024,throughput_enc_mbps,3,0.6745828926211139,0.6745828926211139,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,avalanche_score,3,0.49666666666666665,0.49666666666666665,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,avg_decrypt_time_s,3,0.0008937893295660615,0.0008937893295660615,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,avg_encrypt_time_s,3,0.01201596899423748,0.01201596899423748,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,key_avalanche_score,2,0.41117187499999996,0.41117187499999996,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,throughput_dec_mbps,3,4.539694934876267,4.539694934876267,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,4096,throughput_enc_mbps,3,0.7045827751701378,0.7045827751701378,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,avalanche_score,3,0.49755208333333334,0.49755208333333334,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,avg_decrypt_time_s,3,0.0030310303322039545,0.0030310303322039545,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,avg_encrypt_time_s,3,0.04785711466645201,0.04785711466645201,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,key_avalanche_score,2,0.4441015625,0.4441015625,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,throughput_dec_mbps,3,5.20887016937063,5.20887016937063,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,128,16384,throughput_enc_mbps,3,0.7118593860326076,0.7118593860326076,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avalanche_score,3,0.5053385416666667,0.5053385416666667,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avg_decrypt_time_s,3,9.385999913016955e-05,9.385999913016955e-05,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,avg_encrypt_time_s,3,0.00025399832908685007,0.00025399832908685007,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,key_avalanche_score,2,0.42093749999999996,0.42093749999999996,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,throughput_dec_mbps,3,0.6628627132335008,0.6628627132335008,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
performance,x86,3DES,CBC,192,64,throughput_enc_mbps,3,0.5882190860025385,0.5882190860025385,0.0,0.0,"laptop-windows-x86_experience1.csv, laptop-windows-x86_experience2.csv, laptop-windows-x86_experience3.csv"
