algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,extra
AES,ECB,16,64,100,4.278901033103466e-05,2.983400598168373e-05,1.4264213118696858,2.045825032262576,0.4979296875,{}
AES,ECB,16,256,100,2.0879004150629043e-05,2.0979007240384816e-05,11.693116359318532,11.63737741269409,0.50453125,{}
AES,ECB,16,1024,100,3.7650009617209434e-05,3.278498770669103e-05,25.937908381134203,29.786880164078728,0.4991796875,{}
AES,ECB,16,4096,100,3.487000241875648e-05,3.0942996963858605e-05,112.02322136630649,126.24019595007222,0.4951953125,{}
AES,ECB,16,16384,100,5.06809912621975e-05,3.0356997158378362e-05,308.3009943346264,514.7083526898703,0.497734375,{}
AES,ECB,24,64,100,2.5150007568299772e-05,2.5456000585108996e-05,2.4268444486247995,2.397672644842087,0.4991015625,{}
AES,ECB,24,256,100,2.838399261236191e-05,3.366098506376147e-05,8.601348948127576,7.252925739919458,0.4974609375,{}
AES,ECB,24,1024,100,3.63640021532774e-05,3.345299512147903e-05,26.855198607779887,29.192079706279646,0.4932421875,{}
AES,ECB,24,4096,100,2.356698038056493e-05,2.121998928487301e-05,165.75097602327457,184.08350482931814,0.501484375,{}
AES,ECB,24,16384,100,4.939599893987179e-05,2.848799340426922e-05,316.32116639689434,548.4766785174288,0.49828125,{}
AES,ECB,32,64,100,2.2722994908690454e-05,1.7674006521701812e-05,2.68605245458454,3.4533854095309557,0.5031640625,{}
AES,ECB,32,256,100,2.0514987409114837e-05,1.7349007539451122e-05,11.900598334831441,14.072310732751228,0.503828125,{}
AES,ECB,32,1024,100,2.9204001184552907e-05,2.7175997383892537e-05,33.43933914495732,35.93474367122281,0.50375,{}
AES,ECB,32,4096,100,2.4489997886121274e-05,2.9968991875648498e-05,159.50389290207784,130.34305645676554,0.5,{}
AES,ECB,32,16384,100,5.1736002787947655e-05,3.233999945223331e-05,302.0140551646943,483.1478127598107,0.5043359375,{}
AES,CBC,16,64,100,0.00013662900077179074,6.0089991893619296e-05,0.44672182263812393,1.0157291476766044,0.502421875,{}
AES,CBC,16,256,100,0.00040397300617769363,5.418499931693077e-05,0.6043488581328899,4.5056865936642225,0.4979296875,{}
AES,CBC,16,1024,100,0.001390835007186979,0.00014009199803695084,0.7021411561786454,6.970865671731091,0.5027734375,{}
AES,CBC,16,4096,100,0.005339456985238939,0.0004693429940380156,0.7315818838505347,8.32280453659782,0.50375,{}
AES,CBC,16,16384,100,0.02328201399417594,0.002068238987121731,0.6711189162547809,7.554736225983517,0.502734375,{}
AES,CBC,24,64,100,0.00011591900140047074,3.904401557520032e-05,0.5265327988734049,1.5632397270317617,0.4998046875,{}
AES,CBC,24,256,100,0.0004730680026113987,4.9915006384253504e-05,0.5160793451518831,4.891126791020868,0.4965234375,{}
AES,CBC,24,1024,100,0.001577184007037431,0.00014858000446110964,0.619181082006003,6.57263743894699,0.499140625,{}
AES,CBC,24,4096,100,0.005202691000886261,0.0004661699989810586,0.7508133770263472,8.379453865624498,0.503359375,{}
AES,CBC,24,16384,100,0.023642574017867447,0.0020463480008766056,0.6608840470666049,7.635553675770998,0.502578125,{}
AES,CBC,32,64,100,0.00011595000047236681,2.9586993623524904e-05,0.5263920310595073,2.062904971915442,0.4996484375,{}
AES,CBC,32,256,100,0.00040713000344112517,5.4625000339001416e-05,0.5996625719953971,4.469393564940399,0.4970703125,{}
AES,CBC,32,1024,100,0.0013880250160582363,0.00013499600114300848,0.7035626078075146,7.234010576101992,0.49859375,{}
AES,CBC,32,4096,100,0.005551829999312759,0.00046681799925863744,0.7035968321226588,8.367822162392175,0.4994140625,{}
AES,CBC,32,16384,100,0.022528960001654923,0.0018406219827011227,0.6935517662090138,8.488978262158007,0.4996875,{}
AES,CTR,16,64,100,4.132401430979371e-05,5.862800637260079e-05,1.4769900085804293,1.0410580203273663,0.500546875,{}
AES,CTR,16,256,100,7.397800916805863e-05,5.986700532957911e-05,3.3001783603743178,4.078049731332977,0.4993359375,{}
AES,CTR,16,1024,100,0.00019615399651229382,0.00019037100486457348,4.978550105344373,5.129785918263703,0.496875,{}
AES,CTR,16,4096,100,0.0006328949891030788,0.000575016993097961,6.172034961970278,6.793277497686966,0.49984375,{}
AES,CTR,16,16384,100,0.002598736984655261,0.002427453997079283,6.0125361251487925,6.436785215620987,0.5023828125,{}
AES,CTR,24,64,100,3.5284997429698706e-05,3.045800607651472e-05,1.7297764119610755,2.0039117497275183,0.4986328125,{}
AES,CTR,24,256,100,6.205198355019092e-05,7.351099280640483e-05,3.934453196045315,3.32114443948482,0.4996875,{}
AES,CTR,24,1024,100,0.00019497300731018184,0.0001889519952237606,5.008706145904547,5.168310071791176,0.5008984375,{}
AES,CTR,24,4096,100,0.000703199002891779,0.0005781919858418405,5.554970902882757,6.755973959605385,0.4999609375,{}
AES,CTR,24,16384,100,0.00256042399443686,0.0023013109993189574,6.102504910885497,6.789608186213863,0.49953125,{}
AES,CTR,32,64,100,3.420600900426507e-05,3.103200113400817e-05,1.7843401795979665,1.966845643838005,0.5039453125,{}
AES,CTR,32,256,100,6.424999563023448e-05,8.176498580724001e-05,3.7998543440384824,2.985882313678359,0.4986328125,{}
AES,CTR,32,1024,100,0.0002031000074930489,0.00017225700197741388,4.808283919110258,5.669218021848805,0.499765625,{}
AES,CTR,32,4096,100,0.0006007089908234776,0.0006428009970113635,6.50273270364265,6.076919634788533,0.499140625,{}
AES,CTR,32,16384,100,0.0024942420073784887,0.002268946976400912,6.264428212570387,6.886454448920158,0.4975,{}
AES,GCM,16,64,100,0.0002484819991514087,0.00016491799615323544,0.24563210396906524,0.37009397199617006,0.4985546875,{}
AES,GCM,16,256,100,0.00010944700334221124,0.00021547299344092607,2.230674367909719,1.1330451259866747,0.5,{}
AES,GCM,16,1024,100,0.00011635198723524808,0.0001701309997588396,8.393174222504012,5.740062077953317,0.498828125,{}
AES,GCM,16,4096,100,0.00013296701246872544,0.00015511098550632596,29.37758717350118,25.183580564902606,0.502734375,{}
AES,GCM,16,16384,100,0.00014753999188542365,0.0001948250038549304,105.9034896256063,80.20017806151107,0.5030859375,{}
AES,GCM,24,64,100,0.00016817000694572927,0.00015645299572497606,0.36293722857308836,0.39011816914833536,0.4935546875,{}
AES,GCM,24,256,100,0.00010984599823132157,0.00020965199917554855,2.2225718636182923,1.1645041590830383,0.5003515625,{}
AES,GCM,24,1024,100,0.00011256099445745348,0.00019846599781885742,8.675851743377473,4.9205531966806815,0.5009765625,{}
AES,GCM,24,4096,100,0.0001196590019389987,0.00015996198635548353,32.64484858390661,24.419864300254066,0.4998046875,{}
AES,GCM,24,16384,100,0.00015057499054819346,0.0002352090016938746,103.76889245096129,66.43028067580508,0.5009375,{}
AES,GCM,32,64,100,0.00013507199240848423,0.0002213359880261123,0.45187129590431824,0.2757579406508413,0.4973828125,{}
AES,GCM,32,256,100,0.00011463000904768706,0.00018499099649488927,2.129814234756236,1.3197432827858995,0.5021875,{}
AES,GCM,32,1024,100,0.00013360397424548863,0.00020895000081509353,7.3093821161758985,4.6736659305600625,0.4962109375,{}
AES,GCM,32,4096,100,0.00012066200375556945,0.0001686419965699315,32.373488574854676,23.162972921636268,0.4998828125,{}
AES,GCM,32,16384,100,0.00015178999863564967,0.00018723999615758658,102.93827090351053,83.44905106091515,0.502421875,{}
DES,ECB,8,64,100,2.63400049880147e-05,2.640001010149717e-05,2.3172036709094166,2.3119368521203194,0.503671875,{}
DES,ECB,8,256,100,4.764300538226962e-05,4.3827004265040157e-05,5.124374985186328,5.570552427530294,0.49609375,{}
DES,ECB,8,1024,100,5.108900368213654e-05,6.0241008177399636e-05,19.114925514616342,16.210925572895256,0.501328125,{}
DES,ECB,8,4096,100,0.00013025000225752592,0.00011475200997665525,29.990402551216036,34.04079807224879,0.48765625,{}
DES,ECB,8,16384,100,0.0003991780034266412,0.0003675809898413718,39.142938403096345,42.507638947114515,0.495234375,{}
DES,CBC,8,64,100,0.0002089990070089698,3.2473988831043244e-05,0.2920356279366461,1.879509060853465,0.501015625,{}
DES,CBC,8,256,100,0.0007811539969407022,5.7582997251302e-05,0.3125384059431918,4.239804050743117,0.504140625,{}
DES,CBC,8,1024,100,0.0029004009906202556,0.00015714901266619563,0.3366991333812641,6.21424521498167,0.489453125,{}
DES,CBC,8,4096,100,0.011391751009505242,0.0005388669949024916,0.34290163090297854,7.249005852931926,0.501171875,{}
