algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,0.0001024290022905916,9.018600103445351e-05,0.5958776800035888,0.6767697375414495,0.502890625,0.4994921875,0.5516252220943467,0.23246901854089702,{}
AES,ECB,16,256,100,0.00013201299589127302,0.00018571799737401306,1.8493681122203771,1.3145770924307945,0.49921875,0.5030859375,0.9959209815751736,1.17297308342004,{}
AES,ECB,16,1024,100,0.00011294399970211088,9.088500053621828e-05,8.64643099744721,10.745034870862254,0.5008984375,0.501875,3.4295952772038683,2.7538312839766688,{}
AES,ECB,16,4096,100,0.0001224880013614893,6.3916000071913e-05,31.890878752048447,61.11537010459056,0.5025,0.499765625,9.3793506046085,15.641148998275279,{}
AES,ECB,16,16384,100,9.454299812205136e-05,0.00011524999979883432,165.2687169897947,135.57483754683736,0.50171875,0.4965625,26.242300680148883,56.99963166541912,{}
AES,ECB,24,64,100,5.064800614491105e-05,5.590099957771599e-05,1.205085074333822,1.0918437364460054,0.5025,0.49890625,0.2203245516982557,0.2711376169020622,{}
AES,ECB,24,256,100,5.407200427725911e-05,5.5486997589468955e-05,4.515102191295643,4.399960992777453,0.5036328125,0.498828125,1.1491212502146704,1.9138164684011436,{}
AES,ECB,24,1024,100,5.234800395555794e-05,3.943000454455614e-05,18.655200317266644,24.766989283414325,0.4971875,0.5019921875,2.107879110250084,1.323785307830764,{}
AES,ECB,24,4096,100,5.1210999954491855e-05,5.5276001803576945e-05,76.27755762377713,70.66809958290479,0.4978515625,0.4957421875,10.172922470388205,14.018545140543086,{}
AES,ECB,24,16384,100,7.024800055660307e-05,7.431399775668979e-05,222.42625948349934,210.25648561065913,0.4990234375,0.4979296875,19.637318340915233,44.497549724515586,{}
AES,ECB,32,64,100,4.5962997246533634e-05,6.0708001255989076e-05,1.3279194114044217,1.0053889930032682,0.4985546875,0.4971484375,0.25894719420817247,0.32167108693471713,{}
AES,ECB,32,256,100,5.028600106015802e-05,3.356400295160711e-05,4.85504155933836,7.27388283668084,0.501875,0.4986328125,1.158072547780788,0.8182430808482742,{}
AES,ECB,32,1024,100,4.9058999866247174e-05,3.8609999464824795e-05,19.905878690198893,25.292994393581544,0.4991015625,0.50140625,3.389313171140537,1.8705693382304016,{}
AES,ECB,32,4096,100,7.461699889972806e-05,4.6851002844050525e-05,52.35067153061601,83.37601679525294,0.4986328125,0.500703125,16.090133907059446,15.753395461967253,{}
AES,ECB,32,16384,100,0.00011818600120022893,0.00010166799416765571,132.20685903001626,153.68651784585794,0.5011328125,0.495390625,25.45319391560886,41.401604528972015,{}
AES,CBC,16,64,100,0.00026961700059473513,0.00011843599728308618,0.22637725408770773,0.5153429502021546,0.498984375,0.5023828125,0.05459820826161168,0.3349137285937227,{}
AES,CBC,16,256,100,0.0011109899985603988,7.884800317697226e-05,0.2197505155909172,3.096345058378115,0.5019140625,0.499140625,0.04263076287245839,0.34696154183862465,{}
AES,CBC,16,1024,100,0.0035153700015507637,0.0002986979950219393,0.27779792726489705,3.269397573051241,0.4950390625,0.5033203125,0.032673601195601906,0.26588381285317697,{}
AES,CBC,16,4096,100,0.011480336997192354,0.0010403799987398089,0.34025569118357046,3.754637733070187,0.49796875,0.490078125,0.014938073500370042,0.2589908277165283,{}
AES,CBC,16,16384,100,0.06972524500335567,0.003837915000040084,0.22409387015058915,4.071220962381087,0.49875,0.4984765625,0.02171257644446322,0.19536547431582238,{}
AES,CBC,24,64,100,0.0006398189987521618,0.00016307700076140464,0.09539441055835601,0.3742720062610151,0.4997265625,0.4982421875,0.04443720770113948,0.15020145339149765,{}
AES,CBC,24,256,100,0.0010654980025719852,0.0001204489974770695,0.2291328790956657,2.02692118750493,0.50328125,0.4998828125,0.030587704092861896,0.13898034760839945,{}
AES,CBC,24,1024,100,0.0031559059978462757,0.00029492100467905404,0.3094396666651186,3.3112680497706095,0.4998828125,0.50390625,0.023382568632624362,0.5322424451391055,{}
AES,CBC,24,4096,100,0.021959706004709006,0.0014021590026095509,0.17788261824463175,2.7858823376878785,0.50734375,0.497578125,0.022398817840792454,0.3726198132721896,{}
