algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps,extra
AES,ECB,16,64,100,5.143799819052219e-05,2.97880033031106e-05,1.1865772074552885,2.048984473008516,0.503125,0.503515625,1.2886660567097683,0.3521020516430946,{}
AES,ECB,16,256,100,4.626299603842199e-05,2.8892001137137412e-05,5.277233337789844,8.450111290013233,0.4980078125,0.491328125,0.8822383675880907,1.1615768375079798,{}
AES,ECB,16,1024,100,2.838399959728122e-05,2.298899693414569e-05,34.405387325806636,42.47956110470858,0.499765625,0.5009375,4.82200548109228,2.654148741184131,{}
AES,ECB,16,4096,100,3.373600076884031e-05,3.218300291337073e-05,115.78876899979034,121.37618141211776,0.5051171875,0.5003515625,18.616790230306684,14.176072951247102,{}
AES,ECB,16,16384,100,6.554400315508246e-05,6.087299669161439e-05,238.389467348065,256.6819583263992,0.4984765625,0.5032421875,33.18058042707263,43.66561099278345,{}
AES,ECB,24,64,100,1.9971003057435153e-05,4.065800341777504e-05,3.0561888190827133,1.5011842963079784,0.495390625,0.5003125,0.1866701168984865,0.2673197161184081,{}
AES,ECB,24,256,100,3.1720000552013514e-05,2.158799907192588e-05,7.696740881188368,11.309090026666379,0.4943359375,0.5033984375,1.4338329017055975,0.7222563437356628,{}
AES,ECB,24,1024,100,3.251999849453568e-05,2.765699988231063e-05,30.029598561146653,35.30977706025908,0.49484375,0.4984765625,5.478999689678973,3.6987152090616546,{}
AES,ECB,24,4096,100,2.452499931678176e-05,3.921700175851583e-05,159.276253162913,99.60603373132092,0.499375,0.4978515625,12.01479021820648,12.408087660167121,{}
AES,ECB,24,16384,100,4.462700220756233e-05,4.5945002930238844e-05,350.1243468545652,340.0805093804088,0.4962890625,0.4957421875,35.36881474335258,59.86387978609707,{}
AES,ECB,32,64,100,4.1992999613285064e-05,1.7905000131577253e-05,1.4534602627122328,3.4088330523024357,0.49609375,0.503671875,0.25661269467873915,0.08473150885065049,{}
AES,ECB,32,256,100,2.3140005068853498e-05,4.344700020737946e-05,10.550586496137543,5.619274606639765,0.4962890625,0.4990234375,1.2637697198511701,1.0637985682601432,{}
AES,ECB,32,1024,100,3.083300078287721e-05,2.4356002686545253e-05,31.672638900016633,40.09535195771155,0.5024609375,0.491484375,3.5091021431915514,8.978676115386731,{}
AES,ECB,32,4096,100,3.3163003390654925e-05,4.435600363649428e-05,117.78939181065701,88.06586887340995,0.4976953125,0.49796875,18.93931542818023,10.196312791582596,{}
AES,ECB,32,16384,100,6.388199981302022e-05,6.109999842010438e-05,244.59159146134562,255.7283208514575,0.5034765625,0.4993359375,34.98827621814311,67.33033050845616,{}
