algorithm,mode,key_size_bytes,message_size_bytes,repetitions,avg_encrypt_time_s,avg_decrypt_time_s,throughput_encrypt_mbps,throughput_decrypt_mbps,avalanche_score,key_avalanche_score,ci95_encrypt_mbps,ci95_decrypt_mbps
AES,ECB,16,64,100,4.980000005161855e-05,2.013600016653072e-05,1.2256055459183939,3.031145994498464,0.5036328125,0.4959765625,1.3562625541002924,0.1732056305087359
AES,ECB,16,256,100,2.3042000393616035e-05,1.7801999783841895e-05,10.595461367479233,13.714224691857142,0.498828125,0.498828125,1.4190884135620478,0.44775474548097194
AES,ECB,16,1024,100,2.3894000114523806e-05,3.4983999794349077e-05,40.87061585834693,27.914546813990746,0.5026953125,0.4983984375,4.484742063270497,4.6378392807629165
AES,ECB,16,4096,100,3.9753999808453954e-05,2.452199965773616e-05,98.26055287069026,159.2957366658988,0.499921875,0.4984765625,15.509950161595416,12.312441850253416
AES,ECB,16,16384,100,6.050899981346447e-05,4.505699995206669e-05,258.2260498135539,346.7829641703277,0.4941015625,0.4971875,16.967542431231404,95.1974999244654
AES,ECB,24,64,100,2.0660000227508136e-05,3.371900005731732e-05,2.954266968919663,1.8101116921097675,0.5005859375,0.5055859375,0.22299440500377304,0.5329563273890848
AES,ECB,24,256,100,3.686800017021597e-05,3.6954999886802396e-05,6.6220197426718705,6.606430137947019,0.4926953125,0.50171875,1.1978947254720418,0.5114723437356091
AES,ECB,24,1024,100,4.2258000321453436e-05,2.5927000315277837e-05,23.10952938074122,37.66584981389256,0.4973046875,0.498046875,3.449441544062524,3.563877305619986
AES,ECB,24,4096,100,2.5080999912461265e-05,3.42670005193213e-05,155.745385496342,113.9945119444428,0.49765625,0.501328125,14.940231921895782,15.694963060961049
AES,ECB,24,16384,100,4.2974999887519514e-05,3.538499942806084e-05,363.58347971834894,441.57129440587585,0.4971484375,0.4952734375,27.92563601051642,22.034240081492197
AES,ECB,32,64,100,2.350699985981919e-05,2.8853000258095564e-05,2.59646729118879,2.1153833467587058,0.50171875,0.5019921875,0.30254656602424956,0.2865924664884211
